last.name,first.name,state,district,party,gender,nameid,icpsr.id,missingVotes,idealPoint,lo,up,label
Velázquez,Nydia,New York,7,D,F,V000081,29378,38,-1.350397417,-1.565378604,-1.136752796,Velázquez (D NY-7)
Visclosky,Peter,Indiana,1,D,M,V000108,15240,30,-0.86634113,-0.990411418,-0.74090422,Visclosky (D IN-1)
Wagner,Ann,Missouri,2,R,F,W000812,NA,25,1.084096457,0.915252036,1.272421915,Wagner (R MO-2)
Walberg,Tim,Michigan,7,R,M,W000798,20725,18,0.971378686,0.796676308,1.125127776,Walberg (R MI-7)
Walden,Greg,Oregon,2,R,M,W000791,29932,15,0.741850747,0.617612384,0.870474886,Walden (R OR-2)
Walorski,Jackie,Indiana,2,R,F,W000813,NA,13,0.88460391,0.744495698,1.038177861,Walorski (R IN-2)
Walz,Tim,Minnesota,1,D,M,W000799,20726,12,-0.682959397,-0.783905394,-0.589169845,Walz (D MN-1)
Wasserman Schultz,Debbie,Florida,23,D,F,W000797,20504,63,-0.954056829,-1.108963693,-0.821968727,Wasserman Schultz (D FL-23)
Waters,Maxine,California,43,D,F,W000187,15840,41,-1.230839624,-1.409537877,-1.044001578,Waters (D CA-43)
Watt,Melvin,North Carolina,12,D,M,W000207,29383,180,-1.224620541,-1.416760296,-1.017838811,Watt (D NC-12)
Waxman,Henry,California,33,D,M,W000215,14280,44,-1.230248523,-1.425642741,-1.033956992,Waxman (D CA-33)
Weber,Randy,Texas,14,R,M,W000814,NA,9,1.713508777,1.405684703,2.013398254,Weber (R TX-14)
Webster,Daniel,Florida,10,R,M,W000806,NA,35,0.830162497,0.687118712,0.972565136,Webster (R FL-10)
Welch,Peter,Vermont,1,D,M,W000800,20750,17,-1.248432123,-1.459241128,-1.057385208,Welch (D VT-1)
Wenstrup,Brad,Ohio,2,R,M,W000815,NA,14,1.112820312,0.929442318,1.30118981,Wenstrup (R OH-2)
Westmoreland,Lynn,Georgia,3,R,M,W000796,20506,66,1.119868839,0.934756103,1.30323415,Westmoreland (R GA-3)
Whitfield,Edward,Kentucky,1,R,M,W000413,29525,22,0.758515811,0.617272925,0.886713414,Whitfield (R KY-1)
Williams,Roger,Texas,25,R,M,W000816,NA,9,1.193952644,0.993921454,1.390436452,Williams (R TX-25)
Wilson,Frederica,Florida,24,D,F,W000808,NA,23,-1.440689556,-1.671521554,-1.213500013,Wilson (D FL-24)
Wilson,Joe,South Carolina,2,R,M,W000795,20138,7,1.193136333,0.997463174,1.416048899,Wilson (R SC-2)
Wittman,Robert,Virginia,1,R,M,W000804,99997,6,0.749703497,0.614158075,0.875913924,Wittman (R VA-1)
Wolf,Frank,Virginia,10,R,M,W000672,14869,22,0.489312698,0.398793133,0.593349233,Wolf (R VA-10)
Womack,Steve,Arkansas,3,R,M,W000809,NA,3,0.839142269,0.692246554,0.972887367,Womack (R AR-3)
Woodall,Rob,Georgia,7,R,M,W000810,NA,10,0.978743057,0.820806854,1.142857326,Woodall (R GA-7)
Yarmuth,John,Kentucky,3,D,M,Y000062,20723,46,-1.149280567,-1.320283663,-0.984432603,Yarmuth (D KY-3)
Yoder,Kevin,Kansas,3,R,M,Y000063,NA,10,0.972033287,0.801616765,1.117456095,Yoder (R KS-3)
Yoho,Ted,Florida,3,R,M,Y000065,NA,9,0.938750892,0.780055392,1.095958309,Yoho (R FL-3)
Young,Don,Alaska,1,R,M,Y000033,14066,90,0.503084637,0.400831486,0.600081626,Young (R AK-1)
Young,C. W. Bill,Florida,13,R,M,Y000031,13047,417,0.683909675,0.537195095,0.83280372,Young (R FL-13)
Young,Todd,Indiana,9,R,M,Y000064,NA,12,0.91245387,0.758578326,1.055401408,Young (R IN-9)
