"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"TX","25","R","M","W000816", ,47,1.23714362561615,1.06912233763589,1.40283211514974,"Williams (R TX-25)",423,"Roger","Williams"
"MI","2","R","M","H001058", ,11,1.23886958448702,1.07298862566047,1.38376705080918,"Huizenga (R MI-2)",424,"Bill","Huizenga"
"LA","4","R","M","F000456", ,5,1.24272812269385,1.07409763257987,1.41057486336431,"Fleming (R LA-4)",425,"John","Fleming"
"TN","7","R","F","B001243","20351",30,1.24658403434552,1.0770982122771,1.41591160352335,"Blackburn (R TN-7)",426,"Marsha","Blackburn"
"GA","1","R","M","K000220","29338",166,1.25016370111015,1.07036933816485,1.434859845514,"Kingston (R GA-1)",427,"Jack","Kingston"
"OH","4","R","M","J000289","20738",18,1.26975299646304,1.0987872204105,1.43642488328263,"Jordan (R OH-4)",428,"Jim","Jordan"
"GA","14","R","M","G000560", ,20,1.27025671561869,1.10206407914438,1.42957913601367,"Graves (R GA-14)",429,"Tom","Graves"
"TX","24","R","M","M001158","20532",52,1.2766003433458,1.10294935354117,1.44495432417999,"Marchant (R TX-24)",430,"Kenny","Marchant"
"TX","5","R","M","H001036","20352",10,1.28407595643567,1.11260658006417,1.45475488429623,"Hensarling (R TX-5)",431,"Jeb","Hensarling"
"SC","4","R","M","G000566", ,22,1.29937003361752,1.12928205387768,1.46984100709291,"Gowdy (R SC-4)",432,"Trey","Gowdy"
"IN","3","R","M","S001188", ,36,1.3070620867417,1.13535754181575,1.4738161774518,"Stutzman (R IN-3)",433,"Marlin","Stutzman"
"NC","13","R","M","H001065", ,19,1.30825870955921,1.13517315531605,1.49410398100093,"Holding (R NC-13)",434,"George","Holding"
"OH","1","R","M","C000266","29550",4,1.30874853751988,1.13237042442428,1.48428571121227,"Chabot (R OH-1)",435,"Steven","Chabot"
"KS","4","R","M","P000602", ,82,1.33655696966945,1.14894140002599,1.53968854640149,"Pompeo (R KS-4)",436,"Mike","Pompeo"
"NC","8","R","M","H001067", ,24,1.34960444272639,1.16790658467531,1.52608475549641,"Hudson (R NC-8)",437,"Richard","Hudson"
"AZ","8","R","M","F000448","20304",53,1.36554371986812,1.18658087406575,1.55648149816071,"Franks (R AZ-8)",438,"Trent","Franks"
"TX","19","R","M","N000182","20353",12,1.4224923906438,1.22792213928881,1.61287543854149,"Neugebauer (R TX-19)",439,"Randy","Neugebauer"
"SC","3","R","M","D000615", ,4,1.53332702291956,1.33813827885392,1.75063047237503,"Duncan (R SC-3)",440,"Jeffrey","Duncan"
"TX","14","R","M","W000814", ,10,1.57062861641903,1.36147970419272,1.78019082117781,"Weber (R TX-14)",441,"Randy","Weber"
